Rating,Win,Loss,Draw,Age,KnockOuts (%),Height (cm),Reach (cm),Years Pro,"SouthPaw 1: yes, 0: no",Win Rate
5,20,0,0,35,65,191,198,8.969863014,1,100
5,24,3,0,33,81.48,198,208,9.104109589,0,88.88888889
5,43,2,1,37,91.3,201,211,13.74794521,0,93.47826087
5,35,2,0,33,59.46,188,188,13.44109589,0,94.59459459
5,28,3,0,35,61.29,193,198,11.21643836,0,90.32258065
5,15,0,0,37,93.3,198,203,4.791780822,0,100
5,33,3,0,43,73.68,193,198,12.47123288,1,91.66666667
5,30,3,0,30,63.64,193,193,10.06575342,0,90.90909091
5,33,12,0,38,51.11,187,188,15.6630137,0,73.33333333
5,29,3,0,41,43.75,194,202,13.20821918,0,90.625
5,20,1,2,34,60.87,188,292,9.736986301,0,86.95652174
5,18,1,0,29,68.42,198,198,8.693150685,0,94.73684211
5,21,0,0,30,63.64,193,198,4.846575342,0,100
4.5,24,1,0,31,53.85,197,198,9.468493151,1,96
4.5,15,0,0,30,80,198,198,5.098630137,0,100
4.5,11,1,0,30,75,201,208,5.134246575,0,91.66666667
4.5,18,1,0,25,89.47,196,198,5.61369863,0,94.73684211
4.5,15,0,0,33,93.33,197,197,4.654794521,0,100
4.5,17,1,0,32,66.67,190,203,6.095890411,0,94.44444444
4,31,4,0,38,57.14,200,201,14.49315068,0,88.57142857
4,29,1,0,29,70.97,192,193,11.02191781,0,96.66666667
4,24,1,1,39,73.08,198,198,7.876712329,1,92.30769231
4,28,1,0,30,48.28,185,185,11.0109589,1,96.55172414
3.5,20,3,0,33,65.22,191,193,12.6739726,0,86.95652174
3.5,18,0,0,33,94.44,190,190,5.030136986,1,100
3.5,18,0,0,30,38.89,180,188,8.164383562,0,100
3.5,29,3,1,36,78.79,196,203,10.04383562,1,87.87878788
3.5,39,7,1,41,59.57,187,204,16.82465753,0,82.9787234
3.5,17,0,0,30,72.22,193,206,8.857534247,0,100
3.5,31,3,0,43,79.41,196,196,13.70958904,0,91.17647059
3.5,16,1,0,28,76.47,198,216,5.115068493,0,94.11764706
3.5,26,5,2,34,60.61,185,198,10.08767123,1,78.78787879
3.5,22,0,0,30,63.64,191,191,11.44931507,0,100
3.5,22,1,0,33,65.22,193,201,11.07945205,0,95.65217391
3,20,0,0,39,80,185,185,8.112328767,1,100
3,6,0,0,23,66.67,193,193,1.994520548,0,100
3,25,0,1,34,80.77,193,198,13.38082192,0,96.15384615
3,19,0,0,27,84.21,192,192,5.520547945,0,100
3,20,5,1,40,50,198,208,10.35068493,0,76.92307692
3,15,3,1,28,57.89,180,180,5.556164384,0,78.94736842
3,13,0,0,25,61.54,196,197,4.624657534,0,100
3,21,1,0,33,86.96,196,196,6.997260274,0,95.45454545
3,31,1,0,29,81.25,181,181,9.430136986,0,96.875
3,17,0,0,37,70.59,183,183,6.019178082,0,100
3,11,0,0,28,100,201,206,4.578082192,1,100
3,18,2,0,35,61.9,193,192,7.75890411,0,90
3,22,0,0,32,63.64,198,198,8.090410959,1,100
3,20,5,2,30,62.96,191,191,9.98630137,0,74.07407407
3,15,6,1,35,45.45,196,206,8.761643836,0,68.18181818
3,12,0,0,32,91.67,206,206,5.175342466,0,100
3,19,1,0,32,85,198,198,11.4630137,1,95
3,4,0,0,24,100,201,206,0.9726027397,0,100
3,14,0,0,27,92.86,196,196,5.652054795,0,100
2.5,12,0,0,22,100,193,199,3.005479452,0,100
2.5,21,0,0,29,66.67,188,196,7.438356164,0,100
2.5,20,1,0,33,76.19,185,194,9.098630137,0,95.23809524
2.5,22,1,0,35,65.22,198,198,7.512328767,0,95.65217391
2.5,10,0,0,30,70,196,206,2.334246575,0,100
2.5,17,0,0,29,76.47,206,206,5.460273973,0,100
2.5,11,1,1,32,61.54,193,178,6.019178082,1,84.61538462
2.5,14,2,1,41,47.06,179,178,8.78630137,0,82.35294118
2.5,14,0,0,25,50,194,194,3.638356164,0,100
